"","colmeans","colsd"
"b0",5.15910588323057,0.463625443876186
"b1",1.72207593226852,0.452705596961733
"b10",-4.21348471542954,0.593933578939045
"b11",-0.483886175879206,0.295339995657708
"b12",-0.607986423277209,0.445619055391912
"b13",-0.616586049813961,0.152579748557777
"b14",-2.75319315444279,0.445335231685362
"b15",-0.631806410078033,0.153433630494222
"b16",-0.365621716407767,0.467331015009309
"b17",-0.983851313887949,0.552260444273622
"b18",0.146382106225454,0.385534452639873
"b19",0.00164530013234081,0.197028970058675
"b2",-2.29550209260502,0.456533751368573
"b20",-1.05506845248456,0.24463181833742
"b21",1.47198967468637,0.470708404384394
"b22",1.08706985198157,0.298849778764714
"b23",-0.0359925786182759,0.208828204159558
"b24",-0.331293328392931,0.152129087193507
"b25",-0.581271042154911,0.200893212051028
"b26",-0.0562129904444245,0.135303926356034
"b27",-1.16943787791464,0.392623080930535
"b28",0.448519081591697,0.282772222433989
"b29",-0.308456277844564,0.219037554164035
"b3",-5.89209513385473,0.558455823246065
"b4",3.62195691874394,0.33447467199834
"b5",-0.222001193291343,0.468216627461448
"b6",-0.323749157046823,0.276813740849774
"b7",2.80712345207007,0.627189679005687
"b8",-2.44570424345226,0.41984908427697
"b9",-2.18825222425386,0.38741895022814
